Al	Cr	Cu	Mg	Li	Fe	Nb	V	Ti	Mn	Zr	Zn	Si
0	18.31	0	0	0	0	32.71		16.86	0	32.12	0	0
0	15.52	0	0	0	0	27.74	15.21	14.29	0	27.24	0	0
0	0	0	0	0	0	32.83	18	16.92	0	32.24	0	0
0	0	0	0	0	0	27.83	30.51	14.34	0	27.32	0	0
4.55	0	0	0	0	0	31.34	17.18	16.15	0	30.77	0	0
9.1	26.22	0	0	0	0	31.34	17.19	16.15	0	0	0	0
13.37	25.77	0	0	0	27.68	0	0	5.96	27.23	0	0	0
9.97	19.21	0	0	0	0	34.32	18.82	17.69	0	0	0	0
8.71		0	0	0	0	29.98	16.44	15.45	0	29.43	0	0
11.02	10.62	0	0	0	0	37.99	20.81	19.56	0	0	0	0
12.34	0	0	0	0	0	42.48	23.29	21.89	0	0	0	0
13.34	0	0	0	0	0	41.11	23.2	22.34	0	0	0	0
12.47	0	0	0	0	0	28.74	15.76	14.81	0	28.22	0	0
16.07	20.72	0	0	0	22.25	0	0	19.08	21.89	0	0	0
18.77	24.17	0	0	0	25.96	0	0	5.56	25.54	0	0	0
20.4	19.65	0	0	0	21.1	0	0	18.09	20.76	0	0	0
11.25	21.69	26.5	17.26	0	23.29	0	0			0	0	0
31.66	20.34	0	0	0	21.84	0	0	4.68	21.49	0	0	0
38.17	18.4	0	0	0	19.76	0	0	4.22	19.44	0	0	0
12.24	0	11.03	0	0	25.34	0	0	21.72	0	0	29.67	0
11.47	0	27.02	10.34	0	0	0	0	0	23.36	0	27.81	0
26.9	0	12.7	24.25	3.47	0	0	0	0	0	0	32.62	0
12.8	0	30.15	22.75	3.29	0	0	0	0	0	0	31.03	0
72.94	0	10.74	4.11	1.17	0	0	0	0	0	0	11.05	0
11.42	0	26.9	31.05	2.94	0	0	0	0	0	0	27.68	0
9.23	0	21.74	27.88	0	0	0	0	0	18.79	0	22.37	0
8.76	0	20.63	31.56	0	0	0	0	0	17.83	0	21.23	0
12.12	23.35	28.54	10.19	0	25.08	0	0	0	0	0	0	0
0	0	0	0	0	0	29.5	12.94	22.8	0	34.7	0	0
2.51	0	0	0	0	0	28.72	12.64	22.24	0	33.89	0	0
0	0	0	0	0	0	27.42	12.03	28.26	0	32.3	0	0
2.37	0	0	0	0	0	26.95	11.87	27.85	0	30.96	0	0
4.6	0	0	0	0	0	25.55	11.59	27.21	0	31.06	0	0
0	0	0	0	0	0	24.05	10.58	37.1	0	28.27	0	0
2.05	0	0	0	0	0	23.47	10.34	36.43	0	27.71	0	0
29.3	0	0	0	0	0	16.99	7.44	26.26	0	20.01	0	0
0	0	0	0	0	0	22.36	9.81	41.48	0	26.35	0	0
1.89	0	0	0	0	0	21.95	9.63	40.65	0	25.87	0	0
3.76	0	0	0	0	0	21.4	9.52	39.95	0	25.38	0	0
5.53	0	0	0	0	0	21.1	9.22	39.24	0	24.92	0	0
26.51	19.16	23.41	0	0	20.58	0	0	0	0	0	0	10.35
53.68	7.96	9.73	8.41	0	0	0	0	7.33	0	0	0	12.9
11.47		27.02	10.34	0	0	0	0	0	23.36	0	27.81	0
11.47		27.02	10.34	0	0	0	0	0	23.36	0	27.81	0
11.47		27.02	10.34	0	0	0	0	0	23.36	0	27.81	0
23.14		7.79		0	6.48	0	12.48	0	6.73	22.36	0	20.65
14.47	27.88			0	0	0	27.31	25.67	0	0	0	4.67
23.78		8	15.3	0	0	0	0	0	0	0	49.39	3.54
23.66		7.96	12.18	0	0	0	0	0	0	0	49.16	7.04
23.55		7.92	9.09	0	0	0	0	0	0	0	48.92	10.51
19.58	12.83	0	17.64	0	0	0	0	22.94	13.56	0	0	13.45
